Lord Hobo|466.5,129.0,343.0,310.0|308.333333333333,151.666666666667,382.0,379.0|329.0,153.0,343.0,397.0|
MadTree Brewing|479.0,237.5,343.0,310.0|308.333333333333,151.666666666667,382.0,379.0|329.0,153.0,343.0,397.0|351.0,206.5,288.0,211.0|
Whiner Beer Co|479.0,237.5,343.0,310.0|308.333333333333,151.666666666667,382.0,379.0|329.0,153.0,343.0,397.0|351.0,206.5,288.0,211.0|
Fulton Beer|479.0,237.5,343.0,310.0|308.333333333333,151.666666666667,382.0,379.0|329.0,153.0,343.0,397.0|351.0,206.5,288.0,211.0|
Revolution Brewing|479.0,237.5,343.0,310.0|308.333333333333,151.666666666667,382.0,379.0|329.0,153.0,343.0,397.0|351.0,206.5,288.0,211.0|
Stone|479.0,237.5,343.0,310.0|308.333333333333,151.666666666667,382.0,379.0|329.0,153.0,343.0,397.0|351.0,206.5,288.0,211.0|
Saucy Brew Works|479.0,237.5,343.0,310.0|308.333333333333,151.666666666667,382.0,379.0|329.0,153.0,343.0,397.0|351.0,206.5,288.0,211.0|
Urban Artifact|479.0,237.5,343.0,310.0|308.333333333333,151.666666666667,382.0,379.0|329.0,153.0,343.0,397.0|351.0,206.5,288.0,211.0|
Alaskan|28.5,47.5,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|33.5,147.5,288.0,211.0|
Land Grant|28.5,47.5,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|33.5,147.5,288.0,211.0|
Elevator|81.5,240.0,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|33.5,147.5,288.0,211.0|
Commonhouse Ales|28.5,47.5,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|33.5,147.5,288.0,211.0|
Endeavor Brewing|81.5,240.0,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|33.5,147.5,288.0,211.0|
10 Barrel|81.5,240.0,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|33.5,147.5,288.0,211.0|
Breckenridge|81.5,240.0,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|33.5,147.5,288.0,211.0|
Devil's Backbone|81.5,240.0,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|33.5,147.5,288.0,211.0|
Elysian|81.5,240.0,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|33.5,147.5,288.0,211.0|
Golden Road|81.5,240.0,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|33.5,147.5,288.0,211.0|
Goose Island|81.5,240.0,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|33.5,147.5,288.0,211.0|
Rockmill|479.0,237.5,343.0,310.0|461.0,170.666666666667,382.0,379.0|500.0,153.0,343.0,397.0|555.0,227.5,288.0,211.0|
Sideswipe|479.0,237.5,343.0,310.0|461.0,170.666666666667,382.0,379.0|500.0,153.0,343.0,397.0|555.0,227.5,288.0,211.0|
50 West|479.0,237.5,343.0,310.0|461.0,170.666666666667,382.0,379.0|500.0,153.0,343.0,397.0|413.5,339.0,288.0,211.0|
Actual brewing|479.0,237.5,343.0,310.0|461.0,170.666666666667,382.0,379.0|500.0,153.0,343.0,397.0|555.0,227.5,288.0,211.0|
Barleys|479.0,237.5,343.0,310.0|308.333333333333,151.666666666667,382.0,379.0|329.0,153.0,343.0,397.0|351.0,206.5,288.0,211.0|
Hofbrauhaus Columbus|479.0,237.5,343.0,310.0|461.0,170.666666666667,382.0,379.0|500.0,153.0,343.0,397.0|555.0,227.5,288.0,211.0|
Little Fish|81.5,240.0,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|196.0,339.0,288.0,211.0|
Mad Moon Cidery|81.5,240.0,343.0,310.0|308.333333333333,151.666666666667,382.0,379.0|329.0,153.0,343.0,397.0|351.0,206.5,288.0,211.0|
Platform Brewing Co.|81.5,240.0,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|0.0,339.0,288.0,211.0|
Pretentious|479.0,237.5,343.0,310.0|461.0,170.666666666667,382.0,379.0|500.0,153.0,343.0,397.0|555.0,227.5,288.0,211.0|
Rhinegeist|479.0,237.5,343.0,310.0|308.333333333333,151.666666666667,382.0,379.0|329.0,153.0,343.0,397.0|351.0,206.5,288.0,211.0|
Weasel Boy Brewing|81.5,240.0,343.0,310.0|13.3333333333333,171.0,382.0,379.0|0.0,153.0,343.0,397.0|0.0,339.0,288.0,211.0|
Wolf's Ridge||||
Zaftig|81.5,240.0,343.0,310.0|308.333333333333,151.666666666667,382.0,379.0|329.0,153.0,343.0,397.0|
Fretboard|479.0,237.5,343.0,310.0|308.333333333333,151.666666666667,382.0,379.0|329.0,153.0,343.0,397.0|351.0,206.5,288.0,211.0|
Warped Wing|479.0,237.5,343.0,310.0|308.333333333333,151.666666666667,382.0,379.0|329.0,153.0,343.0,397.0|351.0,206.5,288.0,211.0|
Pigskin Brewing|143.5,167.5,343.0,310.0|308.333333333333,151.666666666667,382.0,379.0|329.0,153.0,343.0,397.0|229.0,98.3333333333333,343.0,397.0|
Grove City|479.0,237.5,343.0,310.0|461.0,170.666666666667,382.0,379.0|500.0,153.0,343.0,397.0|555.0,227.5,288.0,211.0|
Guinness|81.5,240.0,343.0,310.0|13.3333333333333,171.0,382.0,379.0|6.0,110.0,343.0,397.0|0.0,339.0,288.0,211.0|
