Fat Head's Brewery*,IBUsive SIXTH,IPA,7.6%,Middleburg Heights,OH,0,1,0,,
Fat Head's Brewery,Head Hunter,Am. IPA,7.5%,Middleburg Heights,OH,0,0,0,,
Fat Head's Brewery,Bumbleberry,Fruit/ Vegetable,5.3%,Middleburg Heights,OH,0,0,0,,
Fat Head's Brewery,Starlight,Lager - Helles,4.9%,Middleburg Heights,OH,0,0,0,,
Heavy Seas,TropiCannon,Fruit IPA,7.3%,Baltimore,MD,0,0,0,IPA - American,7.25
Heavy Seas,Pounder Pils,German Pilsner,5%,Baltimore,MD,0,0,0,,
Jackie O's,Mystic Mama,Am. IPA,7%,Athens,OH,0,0,0,,
Jackie O's,Raz Wheat,Pale Wheat Ale,5.5%,Athens,OH,0,0,0,,
Jackie O's,BA Oil of Aphrodite SIXTH,BA Walnut Double Stout,12.1%,Athens,OH,0,1,0,,
Jackie O's,BA Scrip QUARTER,BA Grisette,4.5%,Athens,OH,0,1,0,,
Ciderboys,Pineapple Hula,Cider,5%,Stevens Point,WI,0,0,0,,
Ciderboys,Strawberry Magic,Cider,5%,Stevens Point,WI,0,0,0,,
Lord Hobo,Hobo Life,Session IPA,4.5%,Woburn,MA,0,0,0,IPA - Session / India Session Ale,4.5
Lord Hobo,Angelica,Am. Pale Wheat,5.5%,Woburn,MA,0,0,0,,
MadTree Brewing,Shade,Tart Fruit Ale,5%,Cincinnati,OH,0,0,0,,
MadTree Brewing,Lift,Kolsch,5%,Cincinnati,OH,0,0,0,,
Whiner Beer Co,Le Tub,Wild/Farmhouse Ale,6.6%,Chicago,IL,0,0,0,,
Fulton Beer,Standard Lager,Pale Lager,4.5%,Minneapolis,MN,0,0,0,,
Revolution Brewing,Anti Hero,Am. IPA,7%,Chicago,IL,0,0,0,,
Revolution Brewing,SunCrusher,Am. Pale Wheat,5%,Chicago,IL,0,0,0,,
Stone,IPA,Am. IPA,6.9%,Escondido,CA,0,0,0,IPA - American,6.9
Stone,Ripper,Am. Pale Ale,5.7%,Escondido,CA,0,0,0,Pale Ale - American,5.7
Saucy Brew Works,Habituale,Kolsch,5.3%,Cleveland,OH,0,0,1,,
Saucy Brew Works,Everybody in the pool,Session IPA,4.9%,Cleveland,OH,0,0,0,,
Saucy Brew Works,BF HEFE,Hefe,5.5%,Cleveland,OH,0,0,0,,
Saucy Brew Works,Fauxbia,White Stout,5.9%,Cleveland,OH,0,0,0,,
Saucy Brew Works,Punchline,Fruit Ale,5.7%,Cleveland,OH,0,0,0,,
Saucy Brew Works,IPA ASAP,IPA,7%,Cleveland,OH,0,0,0,,
Urban Artifact,Pickled Gose,Gose,4.3%,Cincinnati,OH,0,0,0,,
Urban Artifact,The Gadget,Fruit Beer,7.1%,Cincinnati,OH,0,0,0,,
Alaskan,Amber,Amber Ale,5.3%,Juneau,AK,0,0,0,,
Alaskan,Smash Galaxy Double IPA,Double IPA,8.5%,Juneau,AK,0,0,0,,
Alaskan,White,Witbier,5.3%,Juneau,AK,0,0,1,,
Alaskan,Juneau Juice Hazy,IPA,7.8%,Juneau,AK,0,0,0,,
Alaskan,Spruce IPA,IPA,7%,Juneau,AK,0,0,0,,
Land Grant,Greenskeeper Session IPA,Session IPA,4.9%,Columbus,OH,0,0,0,,
Land Grant,Pool Party Pilsner,Pilsner,5.4%,Columbus,OH,0,0,0,,
Land Grant,Sun Drip Imperial IPA,Double IPA,7.7%,Columbus,OH,0,0,0,,
Elevator,Uptown Pilsner,Pilsner,TBA%,Columbus,OH,0,0,0,,
Elevator,Cucumber IPA,IPA,TBA%,Columbus,OH,0,0,0,,
Commonhouse Ales,Six.One for Good,Amber Ale,6.1%,Columbus,OH,0,0,0,,
Commonhouse Ales,"Czech, Please",Pilsner%,4.6,Columbus,1,0,0,,
Endeavor Brewing,Latin Lager,Lager,4.7%,Columbus,OH,0,0,0,,
Endeavor Brewing,Old World Wit,Witbier,5%,Columbus,OH,0,0,0,,
10 Barrel,Goggle Tan,TBA,TBA%,Bend,OR,0,0,0,,
Breckenridge,Hop Peak IPA,IPA,6.5%,Breckenridge,CO,0,0,0,,
Breckenridge,Summer Pilsner,Pilsner,5%,Breckenridge,CO,0,0,0,,
